Transaccion_ID, SKU_ID   , Fecha_Venta, Cantidad_Vendida, Precio_Venta_Final, Costo_Envio, Tiempo_Entrega_Real, Estado_Envio, Ciudad_Destino, Canal_Venta, Feedback_ID, Rating_Producto, Rating_Logistica, Comentario_Texto, Recomienda_Marca, Ticket_Soporte_Abierto, Edad_Cliente, Satisfaccion_NPS, Categoria  , Stock_Actual, Costo_Unitario_USD, Punto_Reorden, Lead_Time_Dias, Bodega_Origen, Ultima_Revision, Rating_Servicio
TRX-10001     , PROD-1456, 2025-07-29 ,               12,             686.88,       67.16,                  29, Entregado   , Ventas_Web    , Online     , FB-9547    ,               3,                1, Excelente       , NO              , Sí                    ,           40, -45.6           , Laptops    , 1935.0      ,             245.14,           115,             10, NORTE        , 2025-11-16     ,             0.6
TRX-10010     , PROD-1356, 2025-04-04 ,                7,             917.18,       68.91,                  14, Entregado   , Bogotá        , App        , FB-11280   ,               5,                1, No volvería     , MAYBE           , No                    ,           30, -80.1           , Tablets    , 1776.0      ,             469.69,           215,              0, NORTE        , 2025-06-30     ,             1.0
TRX-10016     , PROD-1895, 2025-03-04 ,                3,             475.85,       51.59,                   2, Perdido     , Ventas_Web    , Online     , FB-8191    ,               2,                4, Lento           , SI              , Sí                    ,           32, -86.3           , Accesorios , 1865.0      ,            1405.09,           218,             10, NORTE        , 2024-04-08     ,             1.6
TRX-10016     , PROD-1895, 2025-03-04 ,                3,             475.85,       51.59,                   2, Perdido     , Ventas_Web    , Online     , FB-11174   ,               4,                3, Precio justo    , SI              , Sí                    ,           75, -2.6            , Accesorios , 1865.0      ,            1405.09,           218,             10, NORTE        , 2024-04-08     ,             2.4
TRX-10019     , PROD-3465, 2025-09-04 ,                2,             910.33,       78.94,                  23, Perdido     , Medellín      , Online     , FB-10154   ,               3,                2, Dañado          , SI              , No                    ,           72, -4.1            , Smartphones, -38.0       ,             890.67,           137,              5, OCCIDENTE    , 2025-04-09     ,             1.2
TRX-10022     , PROD-1814, 2024-12-30 ,               11,             337.9 ,       83.11,                  17, En Camino   , Bogotá        , Online     , FB-10038   ,               1,                5, Excelente       , SI              , Sí                    ,           18, 85.9            , Accesorios , 1055.0      ,             657.69,           190,              5, ZONA_FRANCA  , 2025-10-07     ,             1.0
TRX-10027     , PROD-2718, 2024-10-11 ,                6,            1645.52,       11.79,                  23, Perdido     , Medellín      , Online     , FB-9356    ,               3,                2, Excelente       , NO              , No                    ,           23, 48.2            , Tablets    , 369.0       ,             409.07,           131,              0, SUR          , 2025-06-07     ,             1.2
TRX-10032     , PROD-1026, 2024-12-08 ,                6,             622.97,       48.6 ,                  10, Perdido     , Bogotá        , Online     , FB-8313    ,               3,                4, Excelente       , NO              , Sí                    ,           70, -53.8           , Laptops    , 1993.0      ,            1088.27,           238,             10, BOD-EXT-99   , 2024-12-07     ,             2.4
TRX-10033     , PROD-1653, 2025-08-02 ,                5,             778.54,       23.64,                   2, Perdido     , Bucaramanga   , Online     , FB-8236    ,               2,                5, Lento           , NO              , Sí                    ,           45, -25.9           , Monitores  , -28.0       ,             605.66,           223,              3, ZONA_FRANCA  , 2024-06-24     ,             2.0
TRX-10035     , PROD-2731, 2025-02-06 ,               12,            1193.59,       22.28,                   3, Retrasado   , Barranquilla  , Online     , FB-10198   ,               4,                3, Excelente       , NO              , Sí                    ,           83, -83.0           , Smartphones, 162.0       ,             562.54,           137,              5, OCCIDENTE    , 2024-07-27     ,             2.4
